Sender: LSF System <lsfadmin@gauss01>
Subject: Job 255427: <DROSGD> in cluster <cjdx.cluster> Done

Job <DROSGD> was submitted from host <alpha02> by user <xiechenghan> in cluster <cjdx.cluster> at Thu May 18 19:14:45 2023
Job was executed on host(s) <gauss01>, in queue <gauss>, as user <xiechenghan> in cluster <cjdx.cluster> at Thu May 18 19:14:46 2023
</nfsshare/home/xiechenghan> was used as the home directory.
</nfsshare/home/xiechenghan/DRO_trustregion> was used as the working directory.
Started at Thu May 18 19:14:46 2023
Terminated at Fri May 19 02:09:14 2023
Results reported at Fri May 19 02:09:14 2023

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
#/bin/bash
#BSUB -J DROSGD
#BSUB -e /nfsshare/home/xiechenghan/DRO_trustregion/log/NAME_%J.err
#BSUB -o /nfsshare/home/xiechenghan/DRO_trustregion/log/NAME_%J.out
#BSUB -n 1
#BSUB -q gauss
#BSUB -gpu "num=1:mode=exclusive_process"
python my_train.py --optim sgd
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   431194.69 sec.
    Max Memory :                                 2323 MB
    Average Memory :                             2246.59 MB
    Total Requested Memory :                     -
    Delta Memory :                               -
    Max Swap :                                   -
    Max Processes :                              4
    Max Threads :                                154
    Run time :                                   24868 sec.
    Turnaround time :                            24869 sec.

The output (if any) follows:

{
  "eta": 0.08,
  "beta1": 50,
  "beta2": 30,
  "zeta1": 0.25,
  "zeta2": 0.75
}
{
  "qp_rate": 0.3,
  "qp_freq": 1,
  "decay_mode": 1,
  "decay_window": 8000,
  "decay_step": 500.0,
  "decay_radius_step": 0.2,
  "decay_sin_rel_max": 100000000.0,
  "decay_sin_min_scope": 0,
  "decay_sin_max_scope": 37600
}
Using [cuda] for the work
train from scratch!
-----------------------epoch 1-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0030406 MAE:16.93282 [32/165515]
training || loss:0.0002384 MAE:5.68581 [124832/165515]
training || loss:0.0002711 MAE:6.14925 [128032/165515]
training || loss:0.0001724 MAE:4.34331 [131232/165515]
training || loss:0.0003088 MAE:5.71031 [134432/165515]
training || loss:0.0002930 MAE:5.58022 [137632/165515]
training || loss:0.0002441 MAE:5.21487 [140832/165515]
training || loss:0.0002280 MAE:4.43012 [144032/165515]
training || loss:0.0002526 MAE:5.75728 [147232/165515]
training || loss:0.0002200 MAE:5.61853 [150432/165515]
training || loss:0.0002652 MAE:5.73464 [153632/165515]
training || loss:0.0003657 MAE:6.57471 [156832/165515]
training || loss:0.0001876 MAE:5.18095 [160032/165515]
training || loss:0.0002084 MAE:4.92369 [163232/165515]
validate|| MAE:2.30655
-----------------------epoch 18-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0001850 MAE:4.81953 [32/165515]
training || loss:0.0002685 MAE:5.97116 [3232/165515]
training || loss:0.0002321 MAE:5.54968 [6432/165515]
training || loss:0.0001893 MAE:4.80049 [9632/165515]
training || loss:0.0001829 MAE:4.33571 [12832/165515]
training || loss:0.0002622 MAE:5.15323 [16032/165515]
training || loss:0.0002544 MAE:6.08920 [19232/165515]
training || loss:0.0001967 MAE:4.86712 [22432/165515]
training || loss:0.0001609 MAE:4.70570 [25632/165515]
training || loss:0.0002922 MAE:6.17799 [28832/165515]
training || loss:0.0002881 MAE:5.74258 [32032/165515]
training || loss:0.0002215 MAE:5.12283 [35232/165515]
training || loss:0.0002284 MAE:5.17371 [38432/165515]
training || loss:0.0002312 MAE:5.28593 [41632/165515]
training || loss:0.0002028 MAE:4.14186 [44832/165515]
training || loss:0.0002156 MAE:5.09129 [48032/165515]
training || loss:0.0002403 MAE:5.52948 [51232/165515]
training || loss:0.0002210 MAE:5.19975 [54432/165515]
training || loss:0.0001171 MAE:3.53376 [57632/165515]
training || loss:0.0001557 MAE:4.25017 [60832/165515]
training || loss:0.0003021 MAE:6.27307 [64032/165515]
training || loss:0.0002485 MAE:5.54942 [67232/165515]
training || loss:0.0002914 MAE:6.04686 [70432/165515]
training || loss:0.0003323 MAE:6.22030 [73632/165515]
training || loss:0.0002917 MAE:5.96313 [76832/165515]
training || loss:0.0001879 MAE:4.92953 [80032/165515]
training || loss:0.0001403 MAE:3.94600 [83232/165515]
training || loss:0.0001948 MAE:4.69357 [86432/165515]
training || loss:0.0001406 MAE:4.38410 [89632/165515]
training || loss:0.0002885 MAE:5.91883 [92832/165515]
training || loss:0.0002105 MAE:5.01846 [96032/165515]
training || loss:0.0001005 MAE:3.65320 [99232/165515]
training || loss:0.0002039 MAE:4.75028 [102432/165515]
training || loss:0.0002505 MAE:5.42787 [105632/165515]
training || loss:0.0002869 MAE:5.79967 [108832/165515]
training || loss:0.0002049 MAE:4.70965 [112032/165515]
training || loss:0.0003710 MAE:6.63791 [115232/165515]
training || loss:0.0005080 MAE:5.15012 [118432/165515]
training || loss:0.0002380 MAE:5.65246 [121632/165515]
training || loss:0.0002463 MAE:5.28984 [124832/165515]
training || loss:0.0001904 MAE:5.10872 [128032/165515]
training || loss:0.0002948 MAE:6.46947 [131232/165515]
training || loss:0.0002060 MAE:4.79078 [134432/165515]
training || loss:0.0001633 MAE:4.62674 [137632/165515]
training || loss:0.0003830 MAE:5.64970 [140832/165515]
training || loss:0.0002596 MAE:5.82100 [144032/165515]
training || loss:0.0002595 MAE:5.36844 [147232/165515]
training || loss:0.0002593 MAE:5.76771 [150432/165515]
training || loss:0.0002503 MAE:5.84633 [153632/165515]
training || loss:0.0001787 MAE:5.00312 [156832/165515]
training || loss:0.0001638 MAE:4.36186 [160032/165515]
training || loss:0.0002524 MAE:5.64849 [163232/165515]
validate|| MAE:2.30698
-----------------------epoch 19-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0001920 MAE:5.23997 [32/165515]
training || loss:0.0002798 MAE:5.82571 [3232/165515]
training || loss:0.0002051 MAE:5.33839 [6432/165515]
training || loss:0.0001916 MAE:5.33343 [9632/165515]
training || loss:0.0002023 MAE:5.22126 [12832/165515]
training || loss:0.0001843 MAE:4.93863 [16032/165515]
training || loss:0.0002621 MAE:6.10435 [19232/165515]
training || loss:0.0001990 MAE:4.50691 [22432/165515]
training || loss:0.0001583 MAE:4.56885 [25632/165515]
training || loss:0.0002828 MAE:6.07117 [28832/165515]
training || loss:0.0002634 MAE:5.79434 [32032/165515]
training || loss:0.0001631 MAE:4.48640 [35232/165515]
training || loss:0.0002527 MAE:5.36627 [38432/165515]
training || loss:0.0003273 MAE:5.67766 [41632/165515]
training || loss:0.0002536 MAE:4.99348 [44832/165515]
training || loss:0.0001342 MAE:4.22428 [48032/165515]
training || loss:0.0001945 MAE:4.83541 [51232/165515]
training || loss:0.0001960 MAE:5.11384 [54432/165515]
training || loss:0.0001803 MAE:4.35494 [57632/165515]
training || loss:0.0001676 MAE:4.73077 [60832/165515]
training || loss:0.0002325 MAE:5.43512 [64032/165515]
training || loss:0.0001830 MAE:4.83074 [67232/165515]
training || loss:0.0001990 MAE:4.91567 [70432/165515]
training || loss:0.0002185 MAE:5.25313 [73632/165515]
training || loss:0.0003553 MAE:6.08033 [76832/165515]
training || loss:0.0002567 MAE:5.75064 [80032/165515]
training || loss:0.0002362 MAE:5.51828 [83232/165515]
training || loss:0.0003022 MAE:6.26179 [86432/165515]
training || loss:0.0003204 MAE:6.26856 [89632/165515]
training || loss:0.0002081 MAE:4.89972 [92832/165515]
training || loss:0.0001630 MAE:4.40856 [96032/165515]
training || loss:0.0002277 MAE:5.26577 [99232/165515]
training || loss:0.0001847 MAE:5.03171 [102432/165515]
training || loss:0.0002121 MAE:5.30201 [105632/165515]
training || loss:0.0004317 MAE:5.62477 [108832/165515]
training || loss:0.0001597 MAE:4.52906 [112032/165515]
training || loss:0.0001766 MAE:4.40967 [115232/165515]
training || loss:0.0001926 MAE:4.89532 [118432/165515]
training || loss:0.0003079 MAE:5.07633 [121632/165515]
training || loss:0.0002230 MAE:5.45594 [124832/165515]
training || loss:0.0002166 MAE:4.28903 [128032/165515]
training || loss:0.0001558 MAE:4.18912 [131232/165515]
training || loss:0.0002416 MAE:5.38230 [134432/165515]
training || loss:0.0003176 MAE:5.39135 [137632/165515]
training || loss:0.0002525 MAE:5.24328 [140832/165515]
training || loss:0.0001814 MAE:4.49716 [144032/165515]
training || loss:0.0002074 MAE:5.00558 [147232/165515]
training || loss:0.0002225 MAE:5.49406 [150432/165515]
training || loss:0.0001676 MAE:4.82178 [153632/165515]
training || loss:0.0001832 MAE:5.02036 [156832/165515]
training || loss:0.0001384 MAE:4.17105 [160032/165515]
training || loss:0.0001429 MAE:4.02696 [163232/165515]
validate|| MAE:2.30636
-----------------------epoch 20-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0002442 MAE:5.39025 [32/165515]
training || loss:0.0003118 MAE:5.79610 [3232/165515]
training || loss:0.0001994 MAE:4.75524 [6432/165515]
training || loss:0.0001903 MAE:4.69471 [9632/165515]
training || loss:0.0001860 MAE:4.66508 [12832/165515]
training || loss:0.0002677 MAE:5.54792 [16032/165515]
training || loss:0.0001665 MAE:4.68207 [19232/165515]
training || loss:0.0003068 MAE:5.40713 [22432/165515]
training || loss:0.0002046 MAE:4.83120 [25632/165515]
training || loss:0.0002431 MAE:5.80487 [28832/165515]
training || loss:0.0002929 MAE:6.01527 [32032/165515]
training || loss:0.0002296 MAE:5.57111 [35232/165515]
training || loss:0.0002477 MAE:6.07600 [38432/165515]
training || loss:0.0002623 MAE:5.87583 [41632/165515]
training || loss:0.0002764 MAE:5.87066 [44832/165515]
training || loss:0.0002379 MAE:5.82781 [48032/165515]
training || loss:0.0002171 MAE:4.97158 [51232/165515]
training || loss:0.0001728 MAE:4.60934 [54432/165515]
training || loss:0.0001581 MAE:4.41835 [57632/165515]
training || loss:0.0002257 MAE:5.38183 [60832/165515]
training || loss:0.0003795 MAE:6.20409 [64032/165515]
training || loss:0.0002720 MAE:5.64667 [67232/165515]
training || loss:0.0002638 MAE:6.07769 [70432/165515]
training || loss:0.0002174 MAE:5.55314 [73632/165515]
training || loss:0.0002378 MAE:5.29885 [76832/165515]
training || loss:0.0002607 MAE:6.13111 [80032/165515]
training || loss:0.0003006 MAE:6.50329 [83232/165515]
training || loss:0.0002309 MAE:6.09483 [86432/165515]
training || loss:0.0001745 MAE:4.57421 [89632/165515]
training || loss:0.0002234 MAE:5.41909 [92832/165515]
training || loss:0.0002097 MAE:4.92422 [96032/165515]
training || loss:0.0002107 MAE:5.38093 [99232/165515]
training || loss:0.0002182 MAE:5.42060 [102432/165515]
training || loss:0.0002561 MAE:5.86117 [105632/165515]
training || loss:0.0001389 MAE:4.14339 [108832/165515]
training || loss:0.0002503 MAE:5.44598 [112032/165515]
training || loss:0.0003012 MAE:6.24997 [115232/165515]
training || loss:0.0001385 MAE:4.12195 [118432/165515]
training || loss:0.0002139 MAE:5.05098 [121632/165515]
training || loss:0.0002012 MAE:4.90193 [124832/165515]
training || loss:0.0002336 MAE:5.33424 [128032/165515]
training || loss:0.0001680 MAE:4.63467 [131232/165515]
training || loss:0.0002785 MAE:6.29745 [134432/165515]
training || loss:0.0002974 MAE:5.83200 [137632/165515]
training || loss:0.0001476 MAE:4.11353 [140832/165515]
training || loss:0.0005551 MAE:6.24162 [144032/165515]
training || loss:0.0001948 MAE:4.80501 [147232/165515]
training || loss:0.0001860 MAE:4.78044 [150432/165515]
training || loss:0.0001730 MAE:4.89044 [153632/165515]
training || loss:0.0001713 MAE:4.64428 [156832/165515]
training || loss:0.0002849 MAE:6.41321 [160032/165515]
training || loss:0.0002033 MAE:4.94201 [163232/165515]
validate|| MAE:2.30730


PS:

Read file </nfsshare/home/xiechenghan/DRO_trustregion/log/NAME_255427.err> for stderr output of this job.

